timestamp,buyer,seller,symbol,currency,price,quantity
0,,,STARFRUIT,SEASHELLS,5003.0,1
100,,,STARFRUIT,SEASHELLS,5004.0,6
900,,,STARFRUIT,SEASHELLS,5001.0,2
1000,,,STARFRUIT,SEASHELLS,4997.0,2
1100,,,STARFRUIT,SEASHELLS,4997.0,1
1500,,,STARFRUIT,SEASHELLS,5003.0,1
1800,,,STARFRUIT,SEASHELLS,5002.0,1
2000,,,STARFRUIT,SEASHELLS,5002.0,1
2100,,,STARFRUIT,SEASHELLS,5001.0,4
2500,,,STARFRUIT,SEASHELLS,4996.0,11
3200,,,STARFRUIT,SEASHELLS,4996.0,1
3300,,,STARFRUIT,SEASHELLS,4997.0,2
3900,,,STARFRUIT,SEASHELLS,5002.0,1
4200,,,STARFRUIT,SEASHELLS,4998.0,1
4400,,,STARFRUIT,SEASHELLS,5002.0,2
4500,,,STARFRUIT,SEASHELLS,4997.0,1
5800,,,STARFRUIT,SEASHELLS,4999.0,7
6500,,,STARFRUIT,SEASHELLS,5000.0,5
6600,,,STARFRUIT,SEASHELLS,4999.0,1
6700,,,STARFRUIT,SEASHELLS,4999.0,4
7100,,,STARFRUIT,SEASHELLS,4999.0,5
7200,,,STARFRUIT,SEASHELLS,5005.0,4
7300,,,STARFRUIT,SEASHELLS,4998.0,1
7400,,,STARFRUIT,SEASHELLS,5003.0,1
7800,,,STARFRUIT,SEASHELLS,5002.0,1
8600,,,STARFRUIT,SEASHELLS,5004.0,1
8700,,,STARFRUIT,SEASHELLS,5004.0,2
8800,,,STARFRUIT,SEASHELLS,5003.0,1
10200,,,STARFRUIT,SEASHELLS,4996.0,1
11100,,,STARFRUIT,SEASHELLS,5005.0,2
11300,,,STARFRUIT,SEASHELLS,4998.0,1
11400,,,STARFRUIT,SEASHELLS,4997.0,1
12000,,,STARFRUIT,SEASHELLS,4999.0,2
13000,,,STARFRUIT,SEASHELLS,5001.0,2
13500,,,STARFRUIT,SEASHELLS,4998.0,1
13900,,,STARFRUIT,SEASHELLS,4998.0,2
14300,,,STARFRUIT,SEASHELLS,4998.0,1
15000,,,STARFRUIT,SEASHELLS,4998.0,1
16400,,,STARFRUIT,SEASHELLS,4998.0,6
17000,,,STARFRUIT,SEASHELLS,5003.0,9
17200,,,STARFRUIT,SEASHELLS,4996.0,1
17400,,,STARFRUIT,SEASHELLS,5003.0,10
18000,,,STARFRUIT,SEASHELLS,5002.0,4
18100,,,STARFRUIT,SEASHELLS,4996.0,1
18200,,,STARFRUIT,SEASHELLS,4996.0,8
18300,,,STARFRUIT,SEASHELLS,5000.0,2
18600,,,STARFRUIT,SEASHELLS,4996.0,1
19200,,,STARFRUIT,SEASHELLS,4996.0,1
19400,,,STARFRUIT,SEASHELLS,4996.0,1
20300,,,STARFRUIT,SEASHELLS,5002.0,1
20900,,,STARFRUIT,SEASHELLS,5002.0,1
21300,,,STARFRUIT,SEASHELLS,5002.0,1
21400,,,STARFRUIT,SEASHELLS,5001.0,1
21800,,,STARFRUIT,SEASHELLS,5001.0,1
22300,,,STARFRUIT,SEASHELLS,4997.0,1
22900,,,STARFRUIT,SEASHELLS,4998.0,2
23100,,,STARFRUIT,SEASHELLS,5001.0,1
24000,,,STARFRUIT,SEASHELLS,5001.0,3
24200,,,STARFRUIT,SEASHELLS,4996.0,5
24500,,,STARFRUIT,SEASHELLS,5002.0,1
24700,,,STARFRUIT,SEASHELLS,5001.0,6
25100,,,STARFRUIT,SEASHELLS,5001.0,1
25400,,,STARFRUIT,SEASHELLS,4995.0,7
25600,,,STARFRUIT,SEASHELLS,4999.0,2
26300,,,STARFRUIT,SEASHELLS,4994.0,1
26400,,,STARFRUIT,SEASHELLS,4994.0,1
26700,,,STARFRUIT,SEASHELLS,4998.0,1
27000,,,STARFRUIT,SEASHELLS,4993.0,4
27200,,,STARFRUIT,SEASHELLS,4991.0,1
27300,,,STARFRUIT,SEASHELLS,4998.0,11
28000,,,STARFRUIT,SEASHELLS,4999.0,1
28300,,,STARFRUIT,SEASHELLS,4997.0,1
29400,,,STARFRUIT,SEASHELLS,4998.0,2
29900,,,STARFRUIT,SEASHELLS,4995.0,1
30300,,,STARFRUIT,SEASHELLS,4996.0,1
30400,,,STARFRUIT,SEASHELLS,4991.0,1
30900,,,STARFRUIT,SEASHELLS,4992.0,1
31000,,,STARFRUIT,SEASHELLS,4992.0,1
31200,,,STARFRUIT,SEASHELLS,4992.0,1
31300,,,STARFRUIT,SEASHELLS,4997.0,1
31400,,,STARFRUIT,SEASHELLS,4999.0,4
32100,,,STARFRUIT,SEASHELLS,4991.0,1
32700,,,STARFRUIT,SEASHELLS,4996.0,1
32800,,,STARFRUIT,SEASHELLS,4991.0,2
33200,,,STARFRUIT,SEASHELLS,4990.0,1
33300,,,STARFRUIT,SEASHELLS,4991.0,8
33900,,,STARFRUIT,SEASHELLS,4995.0,1
34000,,,STARFRUIT,SEASHELLS,4995.0,1
35000,,,STARFRUIT,SEASHELLS,4993.0,4
35300,,,STARFRUIT,SEASHELLS,4993.0,1
35800,,,STARFRUIT,SEASHELLS,4993.0,1
36200,,,STARFRUIT,SEASHELLS,4994.0,3
36300,,,STARFRUIT,SEASHELLS,4999.0,1
36800,,,STARFRUIT,SEASHELLS,4993.0,1
37200,,,STARFRUIT,SEASHELLS,4998.0,10
38000,,,STARFRUIT,SEASHELLS,4991.0,11
38500,,,STARFRUIT,SEASHELLS,4996.0,1
38800,,,STARFRUIT,SEASHELLS,4993.0,5
38900,,,STARFRUIT,SEASHELLS,4991.0,2
39300,,,STARFRUIT,SEASHELLS,4993.0,1
39400,,,STARFRUIT,SEASHELLS,4993.0,1
39500,,,STARFRUIT,SEASHELLS,4998.0,1
39800,,,STARFRUIT,SEASHELLS,4993.0,4
40100,,,STARFRUIT,SEASHELLS,4992.0,1
40200,,,STARFRUIT,SEASHELLS,4997.0,5
40300,,,STARFRUIT,SEASHELLS,4994.0,2
40600,,,STARFRUIT,SEASHELLS,4992.0,1
40700,,,STARFRUIT,SEASHELLS,4996.0,3
40900,,,STARFRUIT,SEASHELLS,4992.0,3
41100,,,STARFRUIT,SEASHELLS,4995.0,9
41600,,,STARFRUIT,SEASHELLS,4990.0,1
42900,,,STARFRUIT,SEASHELLS,4993.0,1
43100,,,STARFRUIT,SEASHELLS,4989.0,14
43500,,,STARFRUIT,SEASHELLS,4990.0,1
43900,,,STARFRUIT,SEASHELLS,4997.0,2
44700,,,STARFRUIT,SEASHELLS,4995.0,1
45100,,,STARFRUIT,SEASHELLS,4988.0,1
46300,,,STARFRUIT,SEASHELLS,4987.0,1
46800,,,STARFRUIT,SEASHELLS,4986.0,2
47200,,,STARFRUIT,SEASHELLS,4992.0,1
47300,,,STARFRUIT,SEASHELLS,4988.0,2
47700,,,STARFRUIT,SEASHELLS,4988.0,1
48300,,,STARFRUIT,SEASHELLS,4988.0,1
48600,,,STARFRUIT,SEASHELLS,4994.0,1
48900,,,STARFRUIT,SEASHELLS,4988.0,1
49300,,,STARFRUIT,SEASHELLS,4994.0,1
49700,,,STARFRUIT,SEASHELLS,4988.0,2
49900,,,STARFRUIT,SEASHELLS,4986.0,1
50000,,,STARFRUIT,SEASHELLS,4986.0,5
50200,,,STARFRUIT,SEASHELLS,4986.0,1
50300,,,STARFRUIT,SEASHELLS,4986.0,1
50400,,,STARFRUIT,SEASHELLS,4986.0,2
51000,,,STARFRUIT,SEASHELLS,4986.0,1
51300,,,STARFRUIT,SEASHELLS,4990.0,1
51600,,,STARFRUIT,SEASHELLS,4990.0,1
52200,,,STARFRUIT,SEASHELLS,4985.0,1
52300,,,STARFRUIT,SEASHELLS,4985.0,1
53600,,,STARFRUIT,SEASHELLS,4985.0,1
53700,,,STARFRUIT,SEASHELLS,4992.0,2
54300,,,STARFRUIT,SEASHELLS,4986.0,11
54600,,,STARFRUIT,SEASHELLS,4986.0,1
54700,,,STARFRUIT,SEASHELLS,4990.0,1
55200,,,STARFRUIT,SEASHELLS,4989.0,1
56100,,,STARFRUIT,SEASHELLS,4990.0,1
56300,,,STARFRUIT,SEASHELLS,4983.0,1
56500,,,STARFRUIT,SEASHELLS,4982.0,1
57000,,,STARFRUIT,SEASHELLS,4989.0,1
57100,,,STARFRUIT,SEASHELLS,4985.0,3
57200,,,STARFRUIT,SEASHELLS,4985.0,4
57400,,,STARFRUIT,SEASHELLS,4990.0,1
57700,,,STARFRUIT,SEASHELLS,4985.0,2
57800,,,STARFRUIT,SEASHELLS,4984.0,1
58300,,,STARFRUIT,SEASHELLS,4988.0,1
58800,,,STARFRUIT,SEASHELLS,4983.0,1
59000,,,STARFRUIT,SEASHELLS,4991.0,10
59800,,,STARFRUIT,SEASHELLS,4985.0,5
59900,,,STARFRUIT,SEASHELLS,4983.0,1
60000,,,STARFRUIT,SEASHELLS,4987.0,1
60200,,,STARFRUIT,SEASHELLS,4983.0,1
60500,,,STARFRUIT,SEASHELLS,4985.0,3
60600,,,STARFRUIT,SEASHELLS,4984.0,1
61100,,,STARFRUIT,SEASHELLS,4987.0,5
61300,,,STARFRUIT,SEASHELLS,4987.0,1
62300,,,STARFRUIT,SEASHELLS,4987.0,1
62600,,,STARFRUIT,SEASHELLS,4984.0,1
62900,,,STARFRUIT,SEASHELLS,4989.0,1
63000,,,STARFRUIT,SEASHELLS,4984.0,9
63200,,,STARFRUIT,SEASHELLS,4984.0,1
63300,,,STARFRUIT,SEASHELLS,4991.0,2
63800,,,STARFRUIT,SEASHELLS,4983.0,1
64200,,,STARFRUIT,SEASHELLS,4982.0,2
64500,,,STARFRUIT,SEASHELLS,4989.0,2
64600,,,STARFRUIT,SEASHELLS,4988.0,1
65400,,,STARFRUIT,SEASHELLS,4983.0,1
65600,,,STARFRUIT,SEASHELLS,4983.0,1
65800,,,STARFRUIT,SEASHELLS,4983.0,1
66200,,,STARFRUIT,SEASHELLS,4983.0,8
67000,,,STARFRUIT,SEASHELLS,4984.0,1
67200,,,STARFRUIT,SEASHELLS,4989.0,1
67400,,,STARFRUIT,SEASHELLS,4983.0,2
67700,,,STARFRUIT,SEASHELLS,4988.0,4
67900,,,STARFRUIT,SEASHELLS,4984.0,2
68000,,,STARFRUIT,SEASHELLS,4984.0,1
68200,,,STARFRUIT,SEASHELLS,4989.0,1
68600,,,STARFRUIT,SEASHELLS,4985.0,1
68900,,,STARFRUIT,SEASHELLS,4990.0,1
69000,,,STARFRUIT,SEASHELLS,4984.0,9
69300,,,STARFRUIT,SEASHELLS,4992.0,2
69400,,,STARFRUIT,SEASHELLS,4991.0,1
69600,,,STARFRUIT,SEASHELLS,4986.0,8
70400,,,STARFRUIT,SEASHELLS,4985.0,1
71400,,,STARFRUIT,SEASHELLS,4984.0,1
72100,,,STARFRUIT,SEASHELLS,4988.0,9
72600,,,STARFRUIT,SEASHELLS,4990.0,1
73900,,,STARFRUIT,SEASHELLS,4982.0,1
74400,,,STARFRUIT,SEASHELLS,4987.0,1
75000,,,STARFRUIT,SEASHELLS,4981.0,10
75200,,,STARFRUIT,SEASHELLS,4982.0,1
75500,,,STARFRUIT,SEASHELLS,4983.0,1
76400,,,STARFRUIT,SEASHELLS,4987.0,3
77400,,,STARFRUIT,SEASHELLS,4987.0,6
77800,,,STARFRUIT,SEASHELLS,4985.0,1
78100,,,STARFRUIT,SEASHELLS,4989.0,1
78300,,,STARFRUIT,SEASHELLS,4985.0,2
78800,,,STARFRUIT,SEASHELLS,4984.0,1
79000,,,STARFRUIT,SEASHELLS,4989.0,1
79800,,,STARFRUIT,SEASHELLS,4983.0,4
80100,,,STARFRUIT,SEASHELLS,4986.0,1
